BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/09/2021,8
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/11/2021,220
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,13/07/2021,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/10/2021,15
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,04/11/2021,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,16/11/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,22/11/2021,54
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/04/2021,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/08/2021,160
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/10/2021,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,26/10/2021,4
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,03/12/2021,8
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,13/05/2021,9
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,09/06/2021,12
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/10/2021,83
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,29/10/2021,22
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,10/11/2021,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,15/12/2021,1
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,29/12/2021,20
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,02/02/2021,64
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,22/12/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/02/2021,1
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,09/12/2021,10
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/01/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,27/01/2021,8
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,25/02/2021,10
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,22/12/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,18/01/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,12/02/2021,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,18/02/2021,5
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/03/2021,0
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,02/03/2021,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,12/03/2021,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,19/03/2021,9500
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,24/03/2021,53
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,08/04/2021,14
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,20/04/2021,3
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,14/04/2021,6
74,Sydney Harbour,City of Canada Bay Council,Cabarita Beach,151.11852,-33.84187,31/03/2021,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,31/03/2021,26
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/04/2021,4
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,20/04/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,25/02/2021,28
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/03/2021,1
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/02/2021,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,18/02/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,12/02/2021,
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,02/02/2021,120
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,22/12/2021,11
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,02/03/2021,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,12/03/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,19/03/2021,3800
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,24/03/2021,26
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/04/2021,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,27/01/2021,18
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,14/01/2021,24
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,18/01/2021,14
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,09/12/2021,8
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,15/12/2021,2
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,29/12/2021,7
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/11/2021,160
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,08/10/2021,10
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/10/2021,3
74.1,Sydney Harbour,City of Canada Bay Council,Chiswick Baths,151.14295,-33.847206,26/08/2021,140
